*2017-12-12 07-04-28
0 : ¡µE4D4
1 : ¡¿A2B2
2 : ¡µD5C5
3 : ¡¿B2A2
4 : ¡µD4D5
5 : ¡¿A2B2
6 : ¡µD3C4
7 : ¡¿B3C4
8 : ¡µE2C4
9 : ¡¿F4D2
10 : ¡µE1E4
11 : ¡¿A4C2
12 : ¡µG4D3
13 : ¡¿C2D1
14 : ¡µC5B5
15 : ¡¿A5A4
16 : ¡µD5D4
17 : ¡¿B1C1
18 : ¡µD4C5
19 : ¡¿A1B1
20 : ¡µC4D5
21 : ¡¿A4E4+
22 : ¡µD3E4
23 : ¡¿F1E3
24 : ¡µB5A5+
25 : ¡¿D1E2+
26 : ¡µG1A4
27 : ¡¿E2D3
28 : ¡µA4C4+
29 : ¡¿D3C3
30 : ¡µC4C3
31 : ¡¿B2C3
32 : ¡µG2A2
33 : ¡¿B1C2
34 : ¡µC5C4
35 : ¡¿F1A3
36 : ¡µC4C3
37 : ¡¿D2C3
38 : ¡µA2C4+
39 : ¡¿F3D4
40 : ¡µC4D4
41 : ¡¿C3D4
42 : ¡µE5D4
43 : ¡¿F2B2
44 : ¡µD4C5
45 : ¡¿A3A5
