*2017-12-12 08-47-55
0 : ¡µE2D3
1 : ¡¿A4B5
2 : ¡µD3B5
3 : ¡¿A5B5
4 : ¡µE1E2
5 : ¡¿A3B2
6 : ¡µE3D4
7 : ¡¿B5A5
8 : ¡µD4C4
9 : ¡¿F2C3
10 : ¡µG2D4
11 : ¡¿A5A4
12 : ¡µE4D3
13 : ¡¿C3D4
14 : ¡µD3D4
15 : ¡¿B1C1
16 : ¡µG2C5
17 : ¡¿A4C4
18 : ¡µD4C4
19 : ¡¿F2D3
20 : ¡µE2E4
21 : ¡¿D3E4+
22 : ¡µE5E4
23 : ¡¿F1E2
24 : ¡µG1E3
25 : ¡¿E2C2+
26 : ¡µG2B3
27 : ¡¿A2B3
28 : ¡µC4B3
29 : ¡¿F2B1
30 : ¡µB3B2
31 : ¡¿C2B2
32 : ¡µE4E5
33 : ¡¿F3D3
34 : ¡µE3D3
35 : ¡¿B1D3
36 : ¡µG3E3
37 : ¡¿F4C3
38 : ¡µG3E4
39 : ¡¿F1E1
40 : ¡µE3D3
41 : ¡¿E1E4+
